environment,strategy,seed,total_reward,final_reward
FrozenLake-4x4,epsilon_greedy,0,2458.0,1.0
FrozenLake-4x4,epsilon_greedy,1,0.0,0.0
FrozenLake-4x4,epsilon_greedy,2,3058.0,1.0
FrozenLake-4x4,epsilon_greedy,3,2428.0,1.0
FrozenLake-4x4,epsilon_greedy,4,0.0,0.0
FrozenLake-4x4,epsilon_greedy,5,1422.0,1.0
FrozenLake-4x4,epsilon_greedy,6,2491.0,1.0
FrozenLake-4x4,epsilon_greedy,7,2114.0,1.0
FrozenLake-4x4,epsilon_greedy,8,1371.0,1.0
FrozenLake-4x4,epsilon_greedy,9,1.0,0.0
FrozenLake-4x4,epsilon_greedy,10,1695.0,1.0
FrozenLake-4x4,epsilon_greedy,11,0.0,0.0
FrozenLake-4x4,epsilon_greedy,12,977.0,1.0
FrozenLake-4x4,epsilon_greedy,13,2455.0,1.0
FrozenLake-4x4,epsilon_greedy,14,2813.0,1.0
FrozenLake-4x4,epsilon_greedy,15,539.0,1.0
FrozenLake-4x4,epsilon_greedy,16,1.0,0.0
FrozenLake-4x4,epsilon_greedy,17,2253.0,1.0
FrozenLake-4x4,epsilon_greedy,18,3018.0,1.0
FrozenLake-4x4,epsilon_greedy,19,0.0,0.0
FrozenLake-4x4,epsilon_greedy,20,0.0,0.0
FrozenLake-4x4,epsilon_greedy,21,0.0,0.0
FrozenLake-4x4,epsilon_greedy,22,0.0,0.0
FrozenLake-4x4,epsilon_greedy,23,641.0,1.0
FrozenLake-4x4,epsilon_greedy,24,2098.0,1.0
FrozenLake-4x4,epsilon_greedy,25,2782.0,1.0
FrozenLake-4x4,epsilon_greedy,26,2452.0,1.0
FrozenLake-4x4,epsilon_greedy,27,0.0,0.0
FrozenLake-4x4,epsilon_greedy,28,0.0,0.0
FrozenLake-4x4,epsilon_greedy,29,0.0,0.0
FrozenLake-4x4,softmax,0,4648.0,1.0
FrozenLake-4x4,softmax,1,4620.0,1.0
FrozenLake-4x4,softmax,2,4702.0,1.0
FrozenLake-4x4,softmax,3,4740.0,1.0
FrozenLake-4x4,softmax,4,4691.0,1.0
FrozenLake-4x4,softmax,5,4712.0,1.0
FrozenLake-4x4,softmax,6,4684.0,1.0
FrozenLake-4x4,softmax,7,4600.0,1.0
FrozenLake-4x4,softmax,8,4814.0,1.0
FrozenLake-4x4,softmax,9,4720.0,1.0
FrozenLake-4x4,softmax,10,4559.0,1.0
FrozenLake-4x4,softmax,11,4706.0,1.0
FrozenLake-4x4,softmax,12,4738.0,1.0
FrozenLake-4x4,softmax,13,4583.0,1.0
FrozenLake-4x4,softmax,14,4773.0,1.0
FrozenLake-4x4,softmax,15,4649.0,1.0
FrozenLake-4x4,softmax,16,4610.0,1.0
FrozenLake-4x4,softmax,17,4596.0,1.0
FrozenLake-4x4,softmax,18,4615.0,1.0
FrozenLake-4x4,softmax,19,4730.0,1.0
FrozenLake-4x4,softmax,20,4691.0,1.0
FrozenLake-4x4,softmax,21,4667.0,1.0
FrozenLake-4x4,softmax,22,4284.0,1.0
FrozenLake-4x4,softmax,23,4770.0,1.0
FrozenLake-4x4,softmax,24,4664.0,1.0
FrozenLake-4x4,softmax,25,4737.0,1.0
FrozenLake-4x4,softmax,26,4630.0,1.0
FrozenLake-4x4,softmax,27,4666.0,1.0
FrozenLake-4x4,softmax,28,4352.0,1.0
FrozenLake-4x4,softmax,29,4588.0,1.0
FrozenLake-4x4,thompson,0,4815.0,1.0
FrozenLake-4x4,thompson,1,4760.0,1.0
FrozenLake-4x4,thompson,2,4768.0,1.0
FrozenLake-4x4,thompson,3,4784.0,1.0
FrozenLake-4x4,thompson,4,4783.0,1.0
FrozenLake-4x4,thompson,5,4712.0,1.0
FrozenLake-4x4,thompson,6,4654.0,1.0
FrozenLake-4x4,thompson,7,4798.0,1.0
FrozenLake-4x4,thompson,8,4611.0,1.0
FrozenLake-4x4,thompson,9,4705.0,1.0
FrozenLake-4x4,thompson,10,4719.0,1.0
FrozenLake-4x4,thompson,11,4772.0,1.0
FrozenLake-4x4,thompson,12,4742.0,1.0
FrozenLake-4x4,thompson,13,4785.0,1.0
FrozenLake-4x4,thompson,14,4710.0,1.0
FrozenLake-4x4,thompson,15,4725.0,1.0
FrozenLake-4x4,thompson,16,4750.0,1.0
FrozenLake-4x4,thompson,17,4683.0,1.0
FrozenLake-4x4,thompson,18,4755.0,1.0
FrozenLake-4x4,thompson,19,4812.0,1.0
FrozenLake-4x4,thompson,20,4773.0,1.0
FrozenLake-4x4,thompson,21,4753.0,1.0
FrozenLake-4x4,thompson,22,4728.0,1.0
FrozenLake-4x4,thompson,23,4743.0,1.0
FrozenLake-4x4,thompson,24,4733.0,1.0
FrozenLake-4x4,thompson,25,4751.0,1.0
FrozenLake-4x4,thompson,26,4792.0,1.0
FrozenLake-4x4,thompson,27,4657.0,1.0
FrozenLake-4x4,thompson,28,4777.0,1.0
FrozenLake-4x4,thompson,29,4758.0,1.0
FrozenLake-8x8,epsilon_greedy,0,0.0,0.0
FrozenLake-8x8,epsilon_greedy,1,0.0,0.0
FrozenLake-8x8,epsilon_greedy,2,0.0,0.0
FrozenLake-8x8,epsilon_greedy,3,0.0,0.0
FrozenLake-8x8,epsilon_greedy,4,0.0,0.0
FrozenLake-8x8,epsilon_greedy,5,0.0,0.0
FrozenLake-8x8,epsilon_greedy,6,0.0,0.0
FrozenLake-8x8,epsilon_greedy,7,0.0,0.0
FrozenLake-8x8,epsilon_greedy,8,0.0,0.0
FrozenLake-8x8,epsilon_greedy,9,0.0,0.0
FrozenLake-8x8,epsilon_greedy,10,0.0,0.0
FrozenLake-8x8,epsilon_greedy,11,0.0,0.0
FrozenLake-8x8,epsilon_greedy,12,0.0,0.0
FrozenLake-8x8,epsilon_greedy,13,0.0,0.0
FrozenLake-8x8,epsilon_greedy,14,0.0,0.0
FrozenLake-8x8,epsilon_greedy,15,0.0,0.0
FrozenLake-8x8,epsilon_greedy,16,0.0,0.0
FrozenLake-8x8,epsilon_greedy,17,0.0,0.0
FrozenLake-8x8,epsilon_greedy,18,0.0,0.0
FrozenLake-8x8,epsilon_greedy,19,0.0,0.0
FrozenLake-8x8,epsilon_greedy,20,0.0,0.0
FrozenLake-8x8,epsilon_greedy,21,0.0,0.0
FrozenLake-8x8,epsilon_greedy,22,0.0,0.0
FrozenLake-8x8,epsilon_greedy,23,0.0,0.0
FrozenLake-8x8,epsilon_greedy,24,0.0,0.0
FrozenLake-8x8,epsilon_greedy,25,0.0,0.0
FrozenLake-8x8,epsilon_greedy,26,0.0,0.0
FrozenLake-8x8,epsilon_greedy,27,0.0,0.0
FrozenLake-8x8,epsilon_greedy,28,0.0,0.0
FrozenLake-8x8,epsilon_greedy,29,0.0,0.0
FrozenLake-8x8,softmax,0,1773.0,1.0
FrozenLake-8x8,softmax,1,3290.0,1.0
FrozenLake-8x8,softmax,2,3405.0,1.0
FrozenLake-8x8,softmax,3,2768.0,1.0
FrozenLake-8x8,softmax,4,2252.0,1.0
FrozenLake-8x8,softmax,5,818.0,1.0
FrozenLake-8x8,softmax,6,2374.0,1.0
FrozenLake-8x8,softmax,7,2317.0,1.0
FrozenLake-8x8,softmax,8,1995.0,1.0
FrozenLake-8x8,softmax,9,2337.0,1.0
FrozenLake-8x8,softmax,10,2508.0,1.0
FrozenLake-8x8,softmax,11,2352.0,1.0
FrozenLake-8x8,softmax,12,2355.0,1.0
FrozenLake-8x8,softmax,13,3465.0,1.0
FrozenLake-8x8,softmax,14,1511.0,1.0
FrozenLake-8x8,softmax,15,1370.0,1.0
FrozenLake-8x8,softmax,16,3019.0,1.0
FrozenLake-8x8,softmax,17,2539.0,1.0
FrozenLake-8x8,softmax,18,3217.0,1.0
FrozenLake-8x8,softmax,19,1214.0,1.0
FrozenLake-8x8,softmax,20,3331.0,1.0
FrozenLake-8x8,softmax,21,2790.0,1.0
FrozenLake-8x8,softmax,22,2513.0,1.0
FrozenLake-8x8,softmax,23,2849.0,1.0
FrozenLake-8x8,softmax,24,2613.0,1.0
FrozenLake-8x8,softmax,25,2869.0,1.0
FrozenLake-8x8,softmax,26,2614.0,1.0
FrozenLake-8x8,softmax,27,2676.0,1.0
FrozenLake-8x8,softmax,28,2686.0,1.0
FrozenLake-8x8,softmax,29,3331.0,1.0
FrozenLake-8x8,thompson,0,3843.0,1.0
FrozenLake-8x8,thompson,1,3306.0,1.0
FrozenLake-8x8,thompson,2,3736.0,1.0
FrozenLake-8x8,thompson,3,3921.0,1.0
FrozenLake-8x8,thompson,4,3099.0,1.0
FrozenLake-8x8,thompson,5,3554.0,1.0
FrozenLake-8x8,thompson,6,3487.0,1.0
FrozenLake-8x8,thompson,7,3488.0,1.0
